Year,Month,WDCGG CO2 (ppm),WDCGG CO2 uncertainty
2007,1,383.77,
2007,2,384.30,
2007,3,384.53,
2007,4,384.58,
2007,5,384.29,
2007,6,383.15,
2007,7,381.56,
2007,8,380.58,
2007,9,381.15,
2007,10,382.80,
2007,11,384.20,
2007,12,385.33,
2008,1,386.15,
2008,2,386.57,
2008,3,386.80,
2008,4,386.87,
2008,5,386.38,
2008,6,385.23,
2008,7,383.52,
2008,8,382.50,
2008,9,382.98,
2008,10,384.48,
2008,11,386.05,
2008,12,387.23,
2009,1,387.91,
2009,2,388.26,
2009,3,388.44,
2009,4,388.42,
2009,5,387.97,
2009,6,386.71,
2009,7,385.00,
2009,8,383.97,
2009,9,384.43,
2009,10,386.15,
2009,11,387.70,
2009,12,388.77,
2010,1,389.55,
2010,2,390.04,
2010,3,390.21,
2010,4,390.31,
2010,5,389.94,
2010,6,388.79,
2010,7,387.22,
2010,8,386.44,
2010,9,387.03,
2010,10,388.67,
2010,11,390.21,
2010,12,391.31,
2011,1,391.90,
2011,2,392.29,
2011,3,392.47,
2011,4,392.39,
2011,5,391.97,
2011,6,390.78,
2011,7,389.13,
2011,8,388.24,
2011,9,388.75,
2011,10,390.49,
2011,11,392.06,
2011,12,392.98,
2012,1,393.73,
2012,2,394.18,
2012,3,394.40,
2012,4,394.48,
2012,5,394.04,
2012,6,392.86,
2012,7,391.26,
2012,8,390.52,
2012,9,391.16,
2012,10,392.96,
2012,11,394.59,
2012,12,395.71,
2013,1,396.39,
2013,2,396.85,
2013,3,397.12,
2013,4,397.35,
2013,5,396.98,
2013,6,395.85,
2013,7,394.15,
2013,8,393.39,
2013,9,393.72,
2013,10,395.41,
2013,11,396.87,
2013,12,397.94,
2014,1,398.60,
2014,2,399.00,
2014,3,399.27,
2014,4,399.25,
2014,5,398.94,
2014,6,397.75,
2014,7,396.05,
2014,8,395.12,
2014,9,395.71,
2014,10,397.25,
2014,11,398.91,
2014,12,399.99,
2015,1,400.70,
2015,2,401.20,
2015,3,401.40,
2015,4,401.44,
2015,5,401.07,
2015,6,399.90,
2015,7,398.43,
2015,8,397.55,
2015,9,398.10,
2015,10,399.95,
2015,11,401.60,
2015,12,402.76,
2016,1,403.64,
2016,2,404.07,
2016,3,404.58,
2016,4,404.71,
2016,5,404.44,
2016,6,403.29,
2016,7,401.68,
2016,8,400.88,
2016,9,401.67,
2016,10,403.27,
2016,11,404.73,
2016,12,405.70,
2017,1,406.42,
2017,2,406.89,
2017,3,407.10,
2017,4,407.13,
2017,5,406.82,
2017,6,405.60,
2017,7,403.99,
2017,8,402.92,
2017,9,403.37,
2017,10,405.10,
2017,11,406.76,
2017,12,407.78,
2018,1,408.53,
2018,2,409.09,
2018,3,409.32,
2018,4,409.42,
2018,5,408.84,
2018,6,407.81,
2018,7,406.13,
2018,8,405.29,
2018,9,405.70,
2018,10,407.46,
2018,11,409.20,
2018,12,410.22,
2019,1,410.92,
2019,2,411.36,
2019,3,411.65,
2019,4,411.88,
2019,5,411.58,
2019,6,410.54,
2019,7,408.82,
2019,8,407.95,
2019,9,408.61,
2019,10,410.23,
2019,11,411.82,
2019,12,412.80,
2020,1,413.57,
2020,2,413.87,
2020,3,414.26,
2020,4,414.44,
2020,5,414.03,
2020,6,412.85,
2020,7,411.23,
2020,8,410.41,
2020,9,411.09,
2020,10,412.75,
2020,11,414.43,
2020,12,415.49,
2021,1,416.06,
2021,2,416.54,
2021,3,416.86,
2021,4,416.94,
2021,5,416.65,
2021,6,415.48,
2021,7,413.83,
2021,8,412.79,
2021,9,413.48,
2021,10,415.16,
2021,11,416.83,
2021,12,417.92,
