Year,Month,NOAA CO2 (ppm),NOAA CO2 uncertainty
1990,7,352.70,
1990,8,351.60,
1990,9,351.80,
1990,10,353.18,
1990,11,354.44,
1990,12,355.18,
1991,1,355.75,
1991,2,356.18,
1991,3,356.69,
1991,4,357.20,
1991,5,357.10,
1991,6,356.17,
1991,7,354.54,
1991,8,353.03,
1991,9,352.90,
1991,10,354.01,
1991,11,355.16,
1991,12,355.95,
1992,1,356.53,
1992,2,356.90,
1992,3,357.27,
1992,4,357.76,
1992,5,357.83,
1992,6,356.87,
1992,7,355.18,
1992,8,353.68,
1992,9,353.59,
1992,10,354.81,
1992,11,355.99,
1992,12,356.75,
1993,1,357.21,
1993,2,357.56,
1993,3,357.96,
1993,4,358.42,
1993,5,358.38,
1993,6,357.35,
1993,7,355.73,
1993,8,354.44,
1993,9,354.47,
1993,10,355.71,
1993,11,356.95,
1993,12,357.86,
1994,1,358.48,
1994,2,359.02,
1994,3,359.36,
1994,4,359.71,
1994,5,359.74,
1994,6,358.81,
1994,7,357.28,
1994,8,356.05,
1994,9,356.01,
1994,10,357.26,
1994,11,358.69,
1994,12,359.55,
1995,1,360.15,
1995,2,360.63,
1995,3,361.09,
1995,4,361.55,
1995,5,361.47,
1995,6,360.61,
1995,7,359.00,
1995,8,357.73,
1995,9,358.06,
1995,10,359.43,
1995,11,360.77,
1995,12,361.65,
1996,1,362.14,
1996,2,362.50,
1996,3,362.82,
1996,4,363.14,
1996,5,363.29,
1996,6,362.88,
1996,7,361.57,
1996,8,360.07,
1996,9,359.70,
1996,10,360.67,
1996,11,361.78,
1996,12,362.63,
1997,1,363.28,
1997,2,363.65,
1997,3,364.03,
1997,4,364.51,
1997,5,364.51,
1997,6,363.60,
1997,7,361.93,
1997,8,360.41,
1997,9,360.41,
1997,10,361.94,
1997,11,363.61,
1997,12,364.68,
1998,1,365.19,
1998,2,365.46,
1998,3,365.93,
1998,4,366.58,
1998,5,366.86,
1998,6,366.27,
1998,7,364.84,
1998,8,363.79,
1998,9,364.04,
1998,10,365.34,
1998,11,366.60,
1998,12,367.47,
1999,1,368.12,
1999,2,368.52,
1999,3,368.91,
1999,4,369.30,
1999,5,369.21,
1999,6,368.36,
1999,7,366.69,
1999,8,365.33,
1999,9,365.44,
1999,10,366.75,
1999,11,368.05,
1999,12,368.88,
2000,1,369.41,
2000,2,369.68,
2000,3,370.00,
2000,4,370.37,
2000,5,370.25,
2000,6,369.31,
2000,7,367.91,
2000,8,366.75,
2000,9,366.70,
2000,10,367.92,
2000,11,369.29,
2000,12,370.12,
2001,1,370.68,
2001,2,371.17,
2001,3,371.59,
2001,4,371.90,
2001,5,371.80,
2001,6,370.85,
2001,7,369.46,
2001,8,368.32,
2001,9,368.36,
2001,10,369.72,
2001,11,371.05,
2001,12,371.97,
2002,1,372.53,
2002,2,372.92,
2002,3,373.38,
2002,4,373.72,
2002,5,373.70,
2002,6,372.84,
2002,7,371.41,
2002,8,370.37,
2002,9,370.69,
2002,10,371.96,
2002,11,373.29,
2002,12,374.27,
2003,1,374.95,
2003,2,375.48,
2003,3,375.92,
2003,4,376.39,
2003,5,376.51,
2003,6,375.68,
2003,7,374.16,
2003,8,372.94,
2003,9,373.11,
2003,10,374.40,
2003,11,375.68,
2003,12,376.53,
2004,1,377.21,
2004,2,377.73,
2004,3,378.16,
2004,4,378.48,
2004,5,378.40,
2004,6,377.51,
2004,7,375.96,
2004,8,374.49,
2004,9,374.39,
2004,10,375.73,
2004,11,377.20,
2004,12,378.17,
2005,1,378.73,
2005,2,379.19,
2005,3,379.82,
2005,4,380.31,
2005,5,380.43,
2005,6,379.61,
2005,7,377.95,
2005,8,376.73,
2005,9,376.77,
2005,10,378.08,
2005,11,379.54,
2005,12,380.52,
2006,1,381.33,
2006,2,381.95,
2006,3,382.32,
2006,4,382.65,
2006,5,382.61,
2006,6,381.75,
2006,7,380.07,
2006,8,378.49,
2006,9,378.61,
2006,10,380.04,
2006,11,381.41,
2006,12,382.38,
2007,1,383.03,
2007,2,383.54,
2007,3,384.02,
2007,4,384.28,
2007,5,384.12,
2007,6,383.26,
2007,7,381.55,
2007,8,380.29,
2007,9,380.69,
2007,10,382.10,
2007,11,383.45,
2007,12,384.46,
2008,1,385.23,
2008,2,385.75,
2008,3,386.15,
2008,4,386.53,
2008,5,386.48,
2008,6,385.57,
2008,7,384.09,
2008,8,382.77,
2008,9,382.54,
2008,10,383.66,
2008,11,385.18,
2008,12,386.27,
2009,1,387.03,
2009,2,387.48,
2009,3,387.71,
2009,4,387.98,
2009,5,387.95,
2009,6,386.96,
2009,7,385.01,
2009,8,383.63,
2009,9,383.93,
2009,10,385.49,
2009,11,386.94,
2009,12,387.84,
2010,1,388.62,
2010,2,389.33,
2010,3,389.68,
2010,4,389.98,
2010,5,389.95,
2010,6,389.01,
2010,7,387.35,
2010,8,386.23,
2010,9,386.70,
2010,10,388.25,
2010,11,389.62,
2010,12,390.36,
2011,1,390.93,
2011,2,391.35,
2011,3,391.67,
2011,4,392.05,
2011,5,392.07,
2011,6,391.13,
2011,7,389.19,
2011,8,387.86,
2011,9,388.26,
2011,10,389.83,
2011,11,391.21,
2011,12,392.04,
2012,1,392.61,
2012,2,393.20,
2012,3,393.73,
2012,4,393.99,
2012,5,393.88,
2012,6,392.84,
2012,7,391.00,
2012,8,389.89,
2012,9,390.55,
2012,10,392.16,
2012,11,393.56,
2012,12,394.39,
2013,1,395.07,
2013,2,395.69,
2013,3,396.29,
2013,4,396.74,
2013,5,396.75,
2013,6,395.95,
2013,7,394.46,
2013,8,393.23,
2013,9,393.21,
2013,10,394.50,
2013,11,395.96,
2013,12,396.87,
2014,1,397.51,
2014,2,397.97,
2014,3,398.27,
2014,4,398.63,
2014,5,398.69,
2014,6,397.73,
2014,7,396.13,
2014,8,395.02,
2014,9,395.12,
2014,10,396.38,
2014,11,397.86,
2014,12,398.84,
2015,1,399.56,
2015,2,400.12,
2015,3,400.57,
2015,4,400.96,
2015,5,400.91,
2015,6,400.06,
2015,7,398.37,
2015,8,397.06,
2015,9,397.34,
2015,10,398.80,
